PlayerID,TeamName,PlayerName,PlayerRole,PlayerSalary
658,"Yorkshire Diamonds","Beth Langston",Bowler,0.0
527,"Ruby Trichy Warriors","Bharath Shankar",Batsman,0.0
580,India,"Bhuvneshwar Kumar",Bowler,0.0
580,India,"Bhuvneshwar Kumar",Bowler,0.0
849,Northamptonshire,"Blessing Muzarabani",Bowler,0.0
819,"Toronto Nationals","Brendon McCullum",WicketKeeper,0.0
843,Northamptonshire,"Brett Hutton",Bowler,0.0
863,Durham,"Brydon Carse",Bowler,0.0
674,"Surrey Stars","Bryony Smith",Batsman,0.0
674,"Surrey Stars","Bryony Smith",Batsman,0.0
800,"Montreal Tigers","Bupinder Singh",Bowler,0.0
423,"Dindigul Dragons","C Hari Nishanth",AllRounder,0.0
423,"Dindigul Dragons","C Hari Nishanth",AllRounder,0.0
397,"VB Kanchi Veerans","C Shriram",Bowler,0.0
712,Glamorgan,"Callum Taylor",AllRounder,0.0
916,Kent,"Calum Haggett",AllRounder,0.0
816,"Toronto Nationals","Calum MacLeod",AllRounder,0.0
860,Durham,"Cameron Steel",Batsman,0.0
489,"Southern Vipers","Carla Rudd",WicketKeeper,0.0
489,"Southern Vipers","Carla Rudd",WicketKeeper,0.0
546,"West Indies","Carlos Brathwaite",AllRounder,0.0
546,"West Indies","Carlos Brathwaite",AllRounder,0.0
629,"Brampton Wolves","Cecil Pervez",WicketKeeper,0.0
893,Gloucestershire,"Chadd Sayers",Bowler,0.0
741,"Vancouver Knights","Chadwick Walton",WicketKeeper,0.0
594,"Loughborough Lightning","Chamari Atapattu",Batsman,0.0
594,"Loughborough Lightning","Chamari Atapattu",Batsman,0.0
538,"Ruby Trichy Warriors","Chandrasekar Ganapathy",Bowler,0.0
738,Glamorgan,"Charli Hemphrey",Batsman,0.0
483,"Southern Vipers","charlie Dean",AllRounder,0.0
483,"Southern Vipers","charlie Dean",AllRounder,0.0
835,Northamptonshire,"Charlie Thurston",Batsman,0.0
568,India,"Cheteshwar Pujara",Batsman,0.0
568,India,"Cheteshwar Pujara",Batsman,0.0
455,"United Arab Emirates","Chirag Suri",Batsman,0.0
455,"United Arab Emirates","Chirag Suri",Batsman,0.0
455,"United Arab Emirates","Chirag Suri",Batsman,0.0
455,"Toronto Nationals","Chirag Suri",Batsman,0.0
663,"Yorkshire Diamonds","Chloe Tryon",AllRounder,0.0
739,Glamorgan,"Chris Cooke",WicketKeeper,0.0
897,Gloucestershire,"Chris Dent",Batsman,0.0
562,"Vancouver Knights","Chris Gayle",Batsman,0.0
562,"West Indies","Chris Gayle",Batsman,0.0
562,"West Indies","Chris Gayle",Batsman,0.0
705,Sussex,"Chris Jordan",Bowler,0.0
898,Gloucestershire,"Chris Liddle",Bowler,0.0
764,"Winnipeg Hawks","Chris Lynn",Batsman,0.0
857,Durham,"Chris Rushworth",Bowler,0.0
823,"Toronto Nationals","Christopher Green",AllRounder,0.0
609,"Western Storm","Claire Nicholas",Bowler,0.0
715,Glamorgan,"Colin Ingram",Batsman,0.0
623,"Brampton Wolves","Colin Munro",AllRounder,0.0
730,Glamorgan,"Connor Brown",Batsman,0.0
665,"Yorkshire Diamonds","Cordelia Griffith",AllRounder,0.0
731,Glamorgan,"Craig Meschede",AllRounder,0.0
861,Durham,"CT Bancroft",WicketKeeper,0.0
707,Sussex,"D Wiese",AllRounder,0.0
862,Durham,"D'Arcy Short",AllRounder,0.0
501,"TUTI Patriots","Dakshinamoorthy Kumaran",Bowler,0.0
680,"Surrey Stars","Dane van Niekerk",Batsman,0.0
680,"Surrey Stars","Dane van Niekerk",Batsman,0.0
919,Kent,"Daniel Bell-Drummond",Batsman,0.0
733,Glamorgan,"Daniel Douthwaite",Bowler,0.0
743,"Vancouver Knights","Daniel Sams",AllRounder,0.0
477,"Lancashire Thunder","Danielle Collins",Batsman,0.0
477,"Lancashire Thunder","Danielle Collins",Batsman,0.0
606,"Western Storm","Danielle Gibson",Bowler,0.0
494,"Southern Vipers","Danielle Wyatt",AllRounder,0.0
494,"Southern Vipers","Danielle Wyatt",AllRounder,0.0
693,Sussex,"Danny Briggs",Bowler,0.0
459,"United Arab Emirates","Darius D'Silva",Batsman,0.0
459,"United Arab Emirates","Darius D'Silva",Batsman,0.0
459,"United Arab Emirates","Darius D'Silva",Batsman,0.0
726,Glamorgan,"David Lloyd",Batsman,0.0
880,Gloucestershire,"David Payne",Bowler,0.0
640,"Edmonton Royals","Davy Jacobs",WicketKeeper,0.0
413,"VB Kanchi Veerans","Deeban Lingesh",AllRounder,0.0
572,India,"Deepak Chahar",Bowler,0.0
572,India,"Deepak Chahar",Bowler,0.0
610,"Western Storm","Deepti Sharma",AllRounder,0.0
696,Sussex,"Delray Rawlins",AllRounder,0.0
798,"Montreal Tigers","Dillon Heyliger",Bowler,0.0
813,"Montreal Tigers","Dinesh Chandimal",WicketKeeper,0.0
624,"Brampton Wolves","DJG Sammy",AllRounder,0.0
539,"Ruby Trichy Warriors","DT Chandrasekar",Bowler,0.0
841,Northamptonshire,"Dwaine Pretorius",AllRounder,0.0
759,"Winnipeg Hawks","Dwayne Bravo",AllRounder,0.0
769,"Winnipeg Hawks","Dwayne Smith",Batsman,0.0
652,"Edmonton Royals","E Nawaz",Bowler,0.0
470,"Lancashire Thunder","Eleanor Threlkeld",WicketKeeper,0.0
470,"Lancashire Thunder","Eleanor Threlkeld",WicketKeeper,0.0
611,"Western Storm","Ellie Mitchell",AllRounder,0.0
473,"Lancashire Thunder","Emma Lamb",AllRounder,0.0
473,"Lancashire Thunder","Emma Lamb",AllRounder,0.0
884,Gloucestershire,"Ethan Bamber",Bowler,0.0
682,"Surrey Stars","Eva Gray",Bowler,0.0
682,"Surrey Stars","Eva Gray",Bowler,0.0
466,"Lancashire Thunder","Eve Jones",Batsman,0.0
466,"Lancashire Thunder","Eve Jones",Batsman,0.0
560,"West Indies","Evin Lewis",Batsman,0.0
